#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
100   0.00093078   264.8   9257.75  0  -1047.74   -3.45706e-05   0.514629  0.485371
101   0.000919876   264.8   9257.69  0  -1047.73   -3.44144e-05   0.51476  0.48524
102   0.000909023   264.8   9257.63  0  -1047.72   -3.42559e-05   0.514893  0.485107
103   0.000898239   264.8   9257.57  0  -1047.71   -3.40952e-05   0.515029  0.484971
104   0.000887541   264.8   9257.52  0  -1047.7   -3.39324e-05   0.515168  0.484832
105   0.000876945   264.8   9257.47  0  -1047.7   -3.37677e-05   0.515309  0.484691
106   0.000866468   264.8   9257.42  0  -1047.69   -3.36011e-05   0.515453  0.484547
107   0.000856125   264.8   9257.37  0  -1047.69   -3.34328e-05   0.5156  0.4844
108   0.000845931   264.8   9257.33  0  -1047.69   -3.32629e-05   0.515749  0.484251
109   0.0008359   264.8   9257.29  0  -1047.69   -3.30915e-05   0.515901  0.484099
110   0.000826046   264.8   9257.25  0  -1047.69   -3.29187e-05   0.516056  0.483944
111   0.000816382   264.8   9257.21  0  -1047.7   -3.27447e-05   0.516213  0.483787
112   0.000806919   264.8   9257.17  0  -1047.71   -3.25695e-05   0.516374  0.483626
113   0.00079767   264.8   9257.14  0  -1047.71   -3.23932e-05   0.516537  0.483463
114   0.000788646   264.8   9257.11  0  -1047.72   -3.2216e-05   0.516704  0.483296
115   0.000779855   264.8   9257.08  0  -1047.73   -3.2038e-05   0.516873  0.483127
116   0.000771309   264.8   9257.05  0  -1047.74   -3.18593e-05   0.517046  0.482954
117   0.000763015   264.8   9257.02  0  -1047.76   -3.16799e-05   0.517221  0.482779
118   0.000754981   264.8   9257  0  -1047.77   -3.15e-05   0.5174  0.4826
119   0.000747216   264.8   9256.97  0  -1047.78   -3.13196e-05   0.517582  0.482418
120   0.000739726   264.8   9256.95  0  -1047.8   -3.11389e-05   0.517767  0.482233
121   0.000732518   264.8   9256.93  0  -1047.82   -3.0958e-05   0.517955  0.482045
122   0.000725597   264.8   9256.91  0  -1047.84   -3.07769e-05   0.518147  0.481853
123   0.00071897   264.8   9256.89  0  -1047.86   -3.05957e-05   0.518342  0.481658
124   0.000712641   264.8   9256.87  0  -1047.88   -3.04146e-05   0.518541  0.481459
125   0.000706616   264.8   9256.86  0  -1047.9   -3.02336e-05   0.518743  0.481257
126   0.000700898   264.8   9256.84  0  -1047.92   -3.00528e-05   0.518948  0.481052
127   0.000695493   264.8   9256.83  0  -1047.94   -2.98723e-05   0.519157  0.480843
128   0.000690402   264.8   9256.81  0  -1047.97   -2.96922e-05   0.519369  0.480631
129   0.000685631   264.8   9256.8  0  -1047.99   -2.95126e-05   0.519585  0.480415
130   0.000681182   264.8   9256.79  0  -1048.02   -2.93335e-05   0.519805  0.480195
131   0.000677058   264.8   9256.78  0  -1048.04   -2.91551e-05   0.520028  0.479972
132   0.000673262   264.8   9256.77  0  -1048.07   -2.89773e-05   0.520254  0.479746
133   0.000669796   264.8   9256.76  0  -1048.1   -2.88004e-05   0.520485  0.479515
134   0.000666661   264.8   9256.75  0  -1048.13   -2.86244e-05   0.520718  0.479282
135   0.00066386   264.8   9256.74  0  -1048.15   -2.84493e-05   0.520956  0.479044
