#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
53   8.2519067386e-03   6.3951680064e+02   1.0666059036e+04  0.0000000000e+00  -4.2186193764e+03   -2.4516379704e-13   1.0026289958e+00  9.9737100423e-01   1.8032183113e-01
54   8.5583707634e-03   6.3951680064e+02   1.0666219403e+04  0.0000000000e+00  -4.2189641417e+03   -2.2607978192e-13   1.0026147512e+00  9.9738524877e-01   1.8439866668e-01
55   8.8667996557e-03   6.3951680064e+02   1.0666389517e+04  0.0000000000e+00  -4.2193227483e+03   -1.9843844036e-13   1.0025997848e+00  9.9740021518e-01   1.8849243836e-01
56   9.1773515089e-03   6.3951680064e+02   1.0666570520e+04  0.0000000000e+00  -4.2196963584e+03   -1.8440443998e-13   1.0025844812e+00  9.9741551878e-01   1.9260747488e-01
57   9.4902290017e-03   6.3951680064e+02   1.0666762226e+04  0.0000000000e+00  -4.2200848275e+03   -1.7069822384e-13   1.0025690469e+00  9.9743095307e-01   1.9676282077e-01
58   9.8056017478e-03   6.3951680064e+02   1.0666966205e+04  0.0000000000e+00  -4.2204897761e+03   -1.5832826073e-13   1.0025535437e+00  9.9744645628e-01   2.0097000437e-01
59   1.0123531200e-02   6.3951680064e+02   1.0667184253e+04  0.0000000000e+00  -4.2209130592e+03   -1.4099504925e-13   1.0025379341e+00  9.9746206593e-01   2.0523507543e-01
60   1.0443970941e-02   6.3951680064e+02   1.0667417444e+04  0.0000000000e+00  -4.2213558113e+03   -1.2764761059e-13   1.0025221205e+00  9.9747787950e-01   2.0956121266e-01
61   1.0766799996e-02   6.3951680064e+02   1.0667666146e+04  0.0000000000e+00  -4.2218184642e+03   -1.2425781543e-13   1.0025059777e+00  9.9749402233e-01   2.1395018422e-01
62   1.1091853067e-02   6.3951680064e+02   1.0667930361e+04  0.0000000000e+00  -4.2223010816e+03   -1.0689902324e-13   1.0024893777e+00  9.9751062227e-01   2.1840307810e-01
63   1.1418936580e-02   6.3951680064e+02   1.0668209989e+04  0.0000000000e+00  -4.2228036306e+03   -9.5366059905e-14   1.0024722096e+00  9.9752779042e-01   2.2292063755e-01
64   1.1747832594e-02   6.3951680064e+02   1.0668504965e+04  0.0000000000e+00  -4.2233261104e+03   -8.8628426131e-14   1.0024543924e+00  9.9754560763e-01   2.2750334931e-01
65   1.2078295770e-02   6.3951680064e+02   1.0668815284e+04  0.0000000000e+00  -4.2238685801e+03   -7.8162912627e-14   1.0024358841e+00  9.9756411595e-01   2.3215135242e-01
66   1.2410047494e-02   6.3951680064e+02   1.0669140980e+04  0.0000000000e+00  -4.2244311400e+03   -7.4716576433e-14   1.0024166855e+00  9.9758331450e-01   2.3686421708e-01
67   1.2742775803e-02   6.3951680064e+02   1.0669482101e+04  0.0000000000e+00  -4.2250139028e+03   -5.6055036951e-14   1.0023968325e+00  9.9760316747e-01   2.4164105863e-01
68   1.3076140680e-02   6.3951680064e+02   1.0669838617e+04  0.0000000000e+00  -4.2256169009e+03   -4.4658819622e-14   1.0023763751e+00  9.9762362490e-01   2.4648208278e-01
69   1.3409766313e-02   6.3951680064e+02   1.0670210528e+04  0.0000000000e+00  -4.2262401992e+03   -5.2767034879e-14   1.0023553630e+00  9.9764463702e-01   2.5138719070e-01
70   1.3743227889e-02   6.3951680064e+02   1.0670597841e+04  0.0000000000e+00  -4.2268838673e+03   -4.1667542669e-14   1.0023338373e+00  9.9766616267e-01   2.5635503577e-01
71   1.4076041395e-02   6.3951680064e+02   1.0671000507e+04  0.0000000000e+00  -4.2275479154e+03   -3.5539332557e-14   1.0023118267e+00  9.9768817328e-01   2.6138250190e-01
72   1.4407657979e-02   6.3951680064e+02   1.0671418391e+04  0.0000000000e+00  -4.2282322635e+03   -3.0775718019e-14   1.0022893463e+00  9.9771065373e-01   2.6646442681e-01
73   1.4737461331e-02   6.3951680064e+02   1.0671851276e+04  0.0000000000e+00  -4.2289367423e+03   -2.3449721679e-14   1.0022663992e+00  9.9773360083e-01   2.7159346963e-01
74   1.5064766413e-02   6.3951680064e+02   1.0672298879e+04  0.0000000000e+00  -4.2296611056e+03   -1.7063921852e-14   1.0022429798e+00  9.9775702024e-01   2.7676006276e-01
75   1.5388818694e-02   6.3951680064e+02   1.0672760862e+04  0.0000000000e+00  -4.2304050409e+03   -1.7390203699e-14   1.0022190775e+00  9.9778092250e-01   2.8195240379e-01
76   1.5708793614e-02   6.3951680064e+02   1.0673236840e+04  0.0000000000e+00  -4.2311681749e+03   -1.6979588191e-14   1.0021946812e+00  9.9780531875e-01   2.8715645767e-01
77   1.6023796420e-02   6.3951680064e+02   1.0673726382e+04  0.0000000000e+00  -4.2319500735e+03   -1.4377008899e-15   1.0021697835e+00  9.9783021652e-01   2.9235595172e-01
78   1.6332863165e-02   6.3951680064e+02   1.0674229017e+04  0.0000000000e+00  -4.2327502400e+03   -6.4184786713e-15   1.0021443833e+00  9.9785561673e-01   2.9753240356e-01
79   1.6634963587e-02   6.3951680064e+02   1.0674744219e+04  0.0000000000e+00  -4.2335681081e+03   2.1479789827e-15   1.0021184870e+00  9.9788151302e-01   3.0266535506e-01
80   1.6929004374e-02   6.3951680064e+02   1.0675271422e+04  0.0000000000e+00  -4.2344030436e+03   -9.0032391258e-16   1.0020921076e+00  9.9790789238e-01   3.0773245424e-01
81   1.7213832800e-02   6.3951680064e+02   1.0675810013e+04  0.0000000000e+00  -4.2352543440e+03   8.0347160863e-15   1.0020652636e+00  9.9793473644e-01   3.1270947221e-01
82   1.7488241405e-02   6.3951680064e+02   1.0676359333e+04  0.0000000000e+00  -4.2361212339e+03   9.3875486964e-15   1.0020379770e+00  9.9796202300e-01   3.1757032025e-01
83   1.7750974326e-02   6.3951680064e+02   1.0676918674e+04  0.0000000000e+00  -4.2370028620e+03   2.5844012165e-15   1.0020102725e+00  9.9798972751e-01   3.2228710387e-01
84   1.8000735528e-02   6.3951680064e+02   1.0677487281e+04  0.0000000000e+00  -4.2378983000e+03   7.9076465093e-15   1.0019821758e+00  9.9801782420e-01   3.2683023609e-01
85   1.8236198994e-02   6.3951680064e+02   1.0678064356e+04  0.0000000000e+00  -4.2388065431e+03   8.8927950123e-15   1.0019537131e+00  9.9804628688e-01   3.3116862009e-01
86   1.8456020750e-02   6.3951680064e+02   1.0678649056e+04  0.0000000000e+00  -4.2397265128e+03   1.4833628873e-14   1.0019249106e+00  9.9807508936e-01   3.3526990444e-01
87   1.8658852599e-02   6.3951680064e+02   1.0679240502e+04  0.0000000000e+00  -4.2406570595e+03   2.0891857369e-14   1.0018957946e+00  9.9810420539e-01   3.3910080735e-01
88   1.8843357330e-02   6.3951680064e+02   1.0679837781e+04  0.0000000000e+00  -4.2415969663e+03   2.1009074358e-14   1.0018663917e+00  9.9813360835e-01   3.4262750334e-01
89   1.9008225231e-02   6.3951680064e+02   1.0680439952e+04  0.0000000000e+00  -4.2425449531e+03   1.9523337113e-14   1.0018367293e+00  9.9816327066e-01   3.4581606729e-01
90   1.9152191679e-02   6.3951680064e+02   1.0681046048e+04  0.0000000000e+00  -4.2434996821e+03   1.9706462634e-14   1.0018068366e+00  9.9819316338e-01   3.4863298873e-01
91   1.9274055379e-02   6.3951680064e+02   1.0681655084e+04  0.0000000000e+00  -4.2444597639e+03   2.0670946492e-14   1.0017767442e+00  9.9822325585e-01   3.5104572337e-01
92   1.9372696801e-02   6.3951680064e+02   1.0682266061e+04  0.0000000000e+00  -4.2454237643e+03   2.1336422611e-14   1.0017464844e+00  9.9825351559e-01   3.5302326102e-01
93   1.9447096407e-02   6.3951680064e+02   1.0682877972e+04  0.0000000000e+00  -4.2463902125e+03   2.5492597896e-14   1.0017160916e+00  9.9828390838e-01   3.5453669285e-01
94   1.9496352265e-02   6.3951680064e+02   1.0683489810e+04  0.0000000000e+00  -4.2473576099e+03   1.9840538307e-14   1.0016856015e+00  9.9831439855e-01   3.5555976490e-01
95   1.9519696627e-02   6.3951680064e+02   1.0684100570e+04  0.0000000000e+00  -4.2483244393e+03   2.2664646700e-14   1.0016550507e+00  9.9834494928e-01   3.5606940373e-01
96   1.9516511057e-02   6.3951680064e+02   1.0684709260e+04  0.0000000000e+00  -4.2492891750e+03   2.4306467192e-14   1.0016244769e+00  9.9837552310e-01   3.5604620177e-01
97   1.9486339662e-02   6.3951680064e+02   1.0685314903e+04  0.0000000000e+00  -4.2502502936e+03   2.1426861991e-14   1.0015939177e+00  9.9840608234e-01   3.5547484812e-01
98   1.9428900044e-02   6.3951680064e+02   1.0685916550e+04  0.0000000000e+00  -4.2512062845e+03   2.2761293996e-14   1.0015634105e+00  9.9843658955e-01   3.5434449226e-01
99   1.9344091600e-02   6.3951680064e+02   1.0686513277e+04  0.0000000000e+00  -4.2521556609e+03   2.3286051594e-14   1.0015329921e+00  9.9846700786e-01   3.5264902780e-01
100   1.9232000916e-02   6.3951680064e+02   1.0687104199e+04  0.0000000000e+00  -4.2530969705e+03   2.1771384407e-14   1.0015026987e+00  9.9849730132e-01   3.5038728680e-01
101   1.9092904040e-02   6.3951680064e+02   1.0687688472e+04  0.0000000000e+00  -4.2540288057e+03   2.1614780513e-14   1.0014725649e+00  9.9852743513e-01   3.4756313864e-01
102   1.8927265555e-02   6.3951680064e+02   1.0688265293e+04  0.0000000000e+00  -4.2549498131e+03   2.1014249048e-14   1.0014426242e+00  9.9855737579e-01   3.4418548962e-01
103   1.8735734416e-02   6.3951680064e+02   1.0688833915e+04  0.0000000000e+00  -4.2558587026e+03   2.0558175588e-14   1.0014129087e+00  9.9858709128e-01   3.4026818087e-01
104   1.8519136684e-02   6.3951680064e+02   1.0689393638e+04  0.0000000000e+00  -4.2567542552e+03   2.1833349580e-14   1.0013834488e+00  9.9861655117e-01   3.3582978658e-01
105   1.8278465320e-02   6.3951680064e+02   1.0689943819e+04  0.0000000000e+00  -4.2576353304e+03   2.0180567828e-14   1.0013542733e+00  9.9864572675e-01   3.3089331815e-01
106   1.8014867360e-02   6.3951680064e+02   1.0690483875e+04  0.0000000000e+00  -4.2585008717e+03   2.0755434005e-14   1.0013254089e+00  9.9867459108e-01   3.2548584358e-01
107   1.7729628796e-02   6.3951680064e+02   1.0691013277e+04  0.0000000000e+00  -4.2593499115e+03   1.8704869096e-14   1.0012968808e+00  9.9870311915e-01   3.1963803408e-01
108   1.7424157604e-02   6.3951680064e+02   1.0691531556e+04  0.0000000000e+00  -4.2601815746e+03   1.9625108325e-14   1.0012687121e+00  9.9873128791e-01   3.1338365322e-01
109   1.7099965338e-02   6.3951680064e+02   1.0692038303e+04  0.0000000000e+00  -4.2609950804e+03   1.8160911738e-14   1.0012409236e+00  9.9875907636e-01   3.0675900395e-01
110   1.6758647779e-02   6.3951680064e+02   1.0692533165e+04  0.0000000000e+00  -4.2617897446e+03   1.7589075527e-14   1.0012135344e+00  9.9878646560e-01   2.9980235056e-01
111   1.6401865076e-02   6.3951680064e+02   1.0693015845e+04  0.0000000000e+00  -4.2625649786e+03   1.4714374076e-14   1.0011865611e+00  9.9881343887e-01   2.9255333199e-01
112   1.6031321841e-02   6.3951680064e+02   1.0693486103e+04  0.0000000000e+00  -4.2633202889e+03   1.7857857551e-14   1.0011600185e+00  9.9883998149e-01   2.8505238198e-01
113   1.5648747615e-02   6.3951680064e+02   1.0693943749e+04  0.0000000000e+00  -4.2640552748e+03   1.6819317014e-14   1.0011339191e+00  9.9886608089e-01   2.7734017066e-01
114   1.5255878064e-02   6.3951680064e+02   1.0694388643e+04  0.0000000000e+00  -4.2647696261e+03   1.4854719032e-14   1.0011082735e+00  9.9889172652e-01   2.6945707914e-01
115   1.4854437246e-02   6.3951680064e+02   1.0694820694e+04  0.0000000000e+00  -4.2654631192e+03   1.5229292790e-14   1.0010830902e+00  9.9891690978e-01   2.6144271780e-01
116   1.4446121205e-02   6.3951680064e+02   1.0695239852e+04  0.0000000000e+00  -4.2661356131e+03   1.3692806364e-14   1.0010583761e+00  9.9894162391e-01   2.5333549491e-01
117   1.4032583112e-02   6.3951680064e+02   1.0695646111e+04  0.0000000000e+00  -4.2667870447e+03   1.4415983367e-14   1.0010341361e+00  9.9896586391e-01   2.4517224148e-01
118   1.3615420101e-02   6.3951680064e+02   1.0696039503e+04  0.0000000000e+00  -4.2674174238e+03   1.4058202667e-14   1.0010103736e+00  9.9898962639e-01   2.3698789478e-01
119   1.3196161899e-02   6.3951680064e+02   1.0696420092e+04  0.0000000000e+00  -4.2680268280e+03   1.3369831459e-14   1.0009870905e+00  9.9901290946e-01   2.2881524179e-01
120   1.2776261290e-02   6.3951680064e+02   1.0696787976e+04  0.0000000000e+00  -4.2686153973e+03   1.2394925764e-14   1.0009642874e+00  9.9903571264e-01   2.2068472168e-01
121   1.2357086403e-02   6.3951680064e+02   1.0697143283e+04  0.0000000000e+00  -4.2691833282e+03   1.0870283269e-14   1.0009419633e+00  9.9905803667e-01   2.1262428496e-01
122   1.1939914795e-02   6.3951680064e+02   1.0697486164e+04  0.0000000000e+00  -4.2697308688e+03   1.0870686323e-14   1.0009201165e+00  9.9907988348e-01   2.0465930589e-01
123   1.1525929216e-02   6.3951680064e+02   1.0697816796e+04  0.0000000000e+00  -4.2702583131e+03   1.0540654380e-14   1.0008987440e+00  9.9910125599e-01   1.9681254371e-01
124   1.1116214978e-02   6.3951680064e+02   1.0698135375e+04  0.0000000000e+00  -4.2707659960e+03   9.6955124096e-15   1.0008778419e+00  9.9912215809e-01   1.8910414747e-01
125   1.0711758769e-02   6.3951680064e+02   1.0698442115e+04  0.0000000000e+00  -4.2712542879e+03   9.3400060360e-15   1.0008574056e+00  9.9914259444e-01   1.8155169930e-01
126   1.0313448782e-02   6.3951680064e+02   1.0698737247e+04  0.0000000000e+00  -4.2717235901e+03   8.9278667736e-15   1.0008374295e+00  9.9916257048e-01   1.7417029019e-01
127   9.9220759981e-03   6.3951680064e+02   1.0699021014e+04  0.0000000000e+00  -4.2721743303e+03   8.0883929186e-15   1.0008179078e+00  9.9918209223e-01   1.6697262273e-01
128   9.5383364683e-03   6.3951680064e+02   1.0699293673e+04  0.0000000000e+00  -4.2726069582e+03   8.7700150343e-15   1.0007988337e+00  9.9920116628e-01   1.5996913528e-01
129   9.1628344317e-03   6.3951680064e+02   1.0699555488e+04  0.0000000000e+00  -4.2730219414e+03   8.4020927251e-15   1.0007802003e+00  9.9921979967e-01   1.5316814246e-01
130   8.7960861277e-03   6.3951680064e+02   1.0699806733e+04  0.0000000000e+00  -4.2734197620e+03   6.1695781421e-15   1.0007620002e+00  9.9923799981e-01   1.4657598706e-01
131   8.4385241525e-03   6.3951680064e+02   1.0700047686e+04  0.0000000000e+00  -4.2738009129e+03   5.6367993883e-15   1.0007442255e+00  9.9925577446e-01   1.4019719913e-01
132   8.0905022288e-03   6.3951680064e+02   1.0700278634e+04  0.0000000000e+00  -4.2741658947e+03   6.2289767186e-15   1.0007268684e+00  9.9927313159e-01   1.3403465833e-01
133   7.7523002681e-03   6.3951680064e+02   1.0700499862e+04  0.0000000000e+00  -4.2745152130e+03   5.3673298332e-15   1.0007099206e+00  9.9929007937e-01   1.2808975646e-01
134   7.4241296147e-03   6.3951680064e+02   1.0700711662e+04  0.0000000000e+00  -4.2748493758e+03   4.8088766848e-15   1.0006933739e+00  9.9930662611e-01   1.2236255720e-01
135   7.1061383776e-03   6.3951680064e+02   1.0700914326e+04  0.0000000000e+00  -4.2751688911e+03   5.0787630109e-15   1.0006772198e+00  9.9932278023e-01   1.1685195090e-01
136   6.7984167651e-03   6.3951680064e+02   1.0701108144e+04  0.0000000000e+00  -4.2754742652e+03   5.7568205060e-15   1.0006614498e+00  9.9933855017e-01   1.1155580268e-01
137   6.5010023532e-03   6.3951680064e+02   1.0701293408e+04  0.0000000000e+00  -4.2757660001e+03   5.3867079011e-15   1.0006460556e+00  9.9935394442e-01   1.0647109269e-01
138   6.2138852275e-03   6.3951680064e+02   1.0701470407e+04  0.0000000000e+00  -4.2760445930e+03   4.6463576910e-15   1.0006310286e+00  9.9936897142e-01   1.0159404696e-01
139   5.9370129515e-03   6.3951680064e+02   1.0701639427e+04  0.0000000000e+00  -4.2763105339e+03   1.6873554673e-15   1.0006163604e+00  9.9938363959e-01   9.6920259047e-02
140   5.6702953238e-03   6.3951680064e+02   1.0701800754e+04  0.0000000000e+00  -4.2765643049e+03   3.7763025594e-15   1.0006020427e+00  9.9939795727e-01   9.2444801630e-02
141   5.4136088957e-03   6.3951680064e+02   1.0701954666e+04  0.0000000000e+00  -4.2768063794e+03   3.4244336438e-15   1.0005880673e+00  9.9941193273e-01   8.8162327975e-02
142   5.1668012288e-03   6.3951680064e+02   1.0702101440e+04  0.0000000000e+00  -4.2770372205e+03   3.0174432629e-15   1.0005744259e+00  9.9942557413e-01   8.4067163768e-02
143   4.9296948790e-03   6.3951680064e+02   1.0702241347e+04  0.0000000000e+00  -4.2772572811e+03   3.1273100241e-15   1.0005611105e+00  9.9943888950e-01   8.0153389011e-02
144   4.7020911009e-03   6.3951680064e+02   1.0702374653e+04  0.0000000000e+00  -4.2774670024e+03   1.7004256026e-15   1.0005481132e+00  9.9945188675e-01   7.6414911018e-02
145   4.4837732698e-03   6.3951680064e+02   1.0702501620e+04  0.0000000000e+00  -4.2776668145e+03   2.2166728007e-15   1.0005354263e+00  9.9946457366e-01   7.2845528391e-02
146   4.2745100241e-03   6.3951680064e+02   1.0702622501e+04  0.0000000000e+00  -4.2778571350e+03   1.7840908981e-15   1.0005230421e+00  9.9947695785e-01   6.9438986958e-02
