#k_sublattice  row_val   col_val  value.real  value.imag
13  2  0  0.0191378  -8.48321e-07
13  2  1  -0.00158276  7.03952e-08
13  2  2  0.000368869  0
13  2  3  0  0
13  2  4  0  0
13  2  5  0  0
13  3  0  0  0
13  3  1  0  0
13  3  2  0  0
13  3  3  0.99284  0
13  3  4  -0.0821098  0.000467801
13  3  5  -0.00482489  -0.0185177
13  4  0  0  0
13  4  1  0  0
13  4  2  0  0
13  4  3  -0.0821098  -0.000467801
13  4  4  0.00679103  0
13  4  5  0.000390309  0.00153371
13  5  0  0  0
13  5  1  0  0
13  5  2  0  0
13  5  3  -0.00482489  0.0185177
13  5  4  0.000390309  -0.00153371
13  5  5  0.000368869  0
14  0  0  0.999679  0
14  0  1  0.000814728  -0.00140068
14  0  2  0.00743541  -0.01622
14  0  3  0  0
14  0  4  0  0
14  0  5  0  0
14  1  0  0.000814728  0.00140068
14  1  1  0.991823  0
14  1  2  -0.089619  0.0087208
14  1  3  0  0
14  1  4  0  0
14  1  5  0  0
14  2  0  0.00743541  0.01622
14  2  1  -0.089619  -0.0087208
14  2  2  0.00849835  0
14  2  3  0  0
14  2  4  0  0
14  2  5  0  0
14  3  0  0  0
14  3  1  0  0
14  3  2  0  0
14  3  3  0.999679  0
14  3  4  0.000806907  0.00140523
14  3  5  -0.0175703  0.00310737
14  4  0  0  0
14  4  1  0  0
14  4  2  0  0
14  4  3  0.000806907  -0.00140523
14  4  4  0.991823  0
14  4  5  0.0305538  -0.0847015
14  5  0  0  0
14  5  1  0  0
14  5  2  0  0
14  5  3  -0.0175703  -0.00310737
14  5  4  0.0305538  0.0847015
14  5  5  0.00849835  0
15  0  0  0.986515  0
15  0  1  -0.0331109  -0.0959038
15  0  2  0.00762353  0.0543268
15  0  3  0  0
15  0  4  0  0
15  0  5  0  0
15  1  0  -0.0331109  0.0959038
15  1  1  0.0104348  0
15  1  2  -0.00553723  -0.00108229
15  1  3  0  0
15  1  4  0  0
15  1  5  0  0
15  2  0  0.00762353  -0.0543268
15  2  1  -0.00553723  0.00108229
15  2  2  0.00305062  0
15  2  3  0  0
15  2  4  0  0
15  2  5  0  0
15  3  0  0  0
15  3  1  0  0
15  3  2  0  0
15  3  3  0.986515  0
15  3  4  -0.096421  -0.0315806
15  3  5  0.0414242  0.0359645
15  4  0  0  0
15  4  1  0  0
15  4  2  0  0
15  4  3  -0.096421  0.0315806
15  4  4  0.0104348  0
15  4  5  -0.00520006  -0.00218907
15  5  0  0  0
15  5  1  0  0
15  5  2  0  0
15  5  3  0.0414242  -0.0359645
15  5  4  -0.00520006  0.00218907
15  5  5  0.00305062  0
