#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
271   9.27804e-09   267.11   2201.96  0  -1137.05   2.54225e-12   3.95656e-06  0.999996
272   8.85276e-09   267.11   2201.96  0  -1137.05   2.53858e-12   3.77606e-06  0.999996
273   8.44699e-09   267.11   2201.96  0  -1137.05   2.53864e-12   3.60379e-06  0.999996
274   8.05983e-09   267.11   2201.96  0  -1137.05   2.5383e-12   3.43939e-06  0.999997
275   7.69044e-09   267.11   2201.96  0  -1137.05   2.53847e-12   3.28248e-06  0.999997
276   7.33799e-09   267.11   2201.96  0  -1137.05   2.53844e-12   3.13273e-06  0.999997
277   7.00171e-09   267.11   2201.96  0  -1137.05   2.53575e-12   2.98981e-06  0.999997
278   6.68086e-09   267.11   2201.96  0  -1137.05   2.53445e-12   2.85341e-06  0.999997
279   6.37472e-09   267.11   2201.96  0  -1137.05   2.53467e-12   2.72324e-06  0.999997
280   6.08262e-09   267.11   2201.96  0  -1137.05   2.53428e-12   2.599e-06  0.999997
281   5.80392e-09   267.11   2201.96  0  -1137.05   2.53298e-12   2.48043e-06  0.999998
282   5.538e-09   267.11   2201.96  0  -1137.05   2.53164e-12   2.36728e-06  0.999998
283   5.28427e-09   267.11   2201.96  0  -1137.05   2.53311e-12   2.25928e-06  0.999998
284   5.04218e-09   267.11   2201.96  0  -1137.05   2.53292e-12   2.15621e-06  0.999998
285   4.81119e-09   267.11   2201.96  0  -1137.05   2.53192e-12   2.05784e-06  0.999998
286   4.59079e-09   267.11   2201.96  0  -1137.05   2.53145e-12   1.96396e-06  0.999998
287   4.38049e-09   267.11   2201.96  0  -1137.05   2.53017e-12   1.87436e-06  0.999998
288   4.17984e-09   267.11   2201.96  0  -1137.05   2.53123e-12   1.78885e-06  0.999998
289   3.98838e-09   267.11   2201.96  0  -1137.05   2.53084e-12   1.70724e-06  0.999998
290   3.8057e-09   267.11   2201.96  0  -1137.05   2.53095e-12   1.62936e-06  0.999998
291   3.6314e-09   267.11   2201.96  0  -1137.05   2.53026e-12   1.55503e-06  0.999998
292   3.46508e-09   267.11   2201.96  0  -1137.05   2.52745e-12   1.48408e-06  0.999999
293   3.30639e-09   267.11   2201.96  0  -1137.05   2.52873e-12   1.41638e-06  0.999999
294   3.15497e-09   267.11   2201.96  0  -1137.05   2.53203e-12   1.35176e-06  0.999999
295   3.01049e-09   267.11   2201.96  0  -1137.05   2.52867e-12   1.29009e-06  0.999999
296   2.87264e-09   267.11   2201.96  0  -1137.05   2.52917e-12   1.23124e-06  0.999999
297   2.7411e-09   267.11   2201.96  0  -1137.05   2.52817e-12   1.17507e-06  0.999999
298   2.61559e-09   267.11   2201.96  0  -1137.05   2.52704e-12   1.12146e-06  0.999999
299   2.49583e-09   267.11   2201.96  0  -1137.05   2.52715e-12   1.0703e-06  0.999999
