#k_sublattice  row_val   col_val  value.real  value.imag
3  2  0  -5.29947e-13  -5.99643e-13
3  2  1  -5.96824e-13  -4.26502e-13
3  2  2  3.10018e-13  0
3  2  3  -4.2652e-07  -1.81698e-07
3  2  4  -2.76923e-07  -9.2607e-08
3  2  5  -7.4501e-08  6.25179e-08
3  3  0  1.08054e-06  5.14388e-07
3  3  1  1.07108e-06  2.36986e-07
3  3  2  -4.2652e-07  1.81698e-07
3  3  3  0.694107  0
3  3  4  0.435774  -0.0349346
3  3  5  0.0659339  -0.129828
3  4  0  6.52497e-07  3.77327e-07
3  4  1  6.60515e-07  2.02692e-07
3  4  2  -2.76923e-07  9.2607e-08
3  4  3  0.435774  0.0349346
3  4  4  0.275346  0
3  4  5  0.0479289  -0.0781902
3  5  0  6.42902e-09  2.5097e-07
3  5  1  5.74159e-08  2.22849e-07
3  5  2  -7.4501e-08  -6.25179e-08
3  5  3  0.0659339  0.129828
3  5  4  0.0479289  0.0781902
3  5  5  0.0305466  0
4  0  0  2.06574e-12  0
4  0  1  1.84517e-12  4.25324e-13
4  0  2  -5.29947e-13  -5.99643e-13
4  0  3  4.22149e-07  -1.1198e-06
4  0  4  3.21394e-07  -6.81787e-07
4  0  5  2.49552e-07  -2.74108e-08
4  1  0  1.84517e-12  -4.25324e-13
4  1  1  1.73572e-12  0
4  1  2  -5.96824e-13  -4.26502e-13
4  1  3  1.46513e-07  -1.08715e-06
4  1  4  1.46701e-07  -6.75162e-07
4  1  5  2.17262e-07  -7.58652e-08
4  2  0  -5.29947e-13  5.99643e-13
4  2  1  -5.96824e-13  4.26502e-13
4  2  2  3.10018e-13  0
4  2  3  2.16757e-07  4.09817e-07
4  2  4  1.15458e-07  2.68201e-07
4  2  5  -5.60634e-08  7.94719e-08
4  3  0  4.22149e-07  1.1198e-06
4  3  1  1.46513e-07  1.08715e-06
4  3  2  2.16757e-07  -4.09817e-07
4  3  3  0.694107  0
4  3  4  0.435774  0.0349347
4  3  5  0.0659339  0.129828
4  4  0  3.21394e-07  6.81787e-07
4  4  1  1.46701e-07  6.75162e-07
4  4  2  1.15458e-07  -2.68201e-07
4  4  3  0.435774  -0.0349347
4  4  4  0.275346  0
4  4  5  0.0479289  0.0781902
4  5  0  2.49552e-07  2.74108e-08
4  5  1  2.17262e-07  7.58652e-08
4  5  2  -5.60634e-08  -7.94719e-08
4  5  3  0.0659339  -0.129828
4  5  4  0.0479289  -0.0781902
4  5  5  0.0305466  0
5  0  0  2.12714e-25  0
5  0  1  4.15995e-19  -6.64689e-19
5  0  2  5.43941e-26  -9.86781e-27
5  0  3  -3.46129e-13  -2.97525e-13
5  0  4  2.78477e-20  1.47057e-20
5  0  5  4.52301e-15  -6.41732e-14
5  1  0  4.15995e-19  6.64689e-19
5  1  1  2.89057e-12  0
5  1  2  1.37211e-19  1.50673e-19
5  1  3  2.52798e-07  -1.66344e-06
5  1  4  8.50817e-15  1.15778e-13
5  1  5  2.09374e-07  -1.11367e-07
5  2  0  5.43941e-26  9.86781e-27
5  2  1  1.37211e-19  -1.50673e-19
5  2  2  1.43672e-26  0
5  2  3  -7.47081e-14  -9.21385e-14
5  2  4  6.43888e-21  5.05232e-21
5  2  5  4.1336e-15  -1.62002e-14
5  3  0  -3.46129e-13  2.97525e-13
5  3  1  2.52798e-07  1.66344e-06
5  3  2  -7.47081e-14  9.21385e-14
5  3  3  0.980521  0
5  3  4  -6.59601e-08  1.50393e-08
5  3  5  0.0824964  0.110879
5  4  0  2.78477e-20  -1.47057e-20
5  4  1  8.50817e-15  -1.15778e-13
5  4  2  6.43888e-21  -5.05232e-21
5  4  3  -6.59601e-08  -1.50393e-08
5  4  4  4.66784e-15  0
5  4  5  -3.8489e-09  -8.72422e-09
