#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
65   1.0765553185e-04   2.6403459457e+02   9.2602118518e+03  0.0000000000e+00  -1.0469382526e+03   -5.3843181187e-05   5.3213774377e-01  4.6786225623e-01   2.0427071546e-01
66   8.5398620078e-05   2.6403459457e+02   9.2597791348e+03  0.0000000000e+00  -1.0467066419e+03   -5.4280839438e-05   5.3226929627e-01  4.6773070373e-01   2.0110630359e-01
67   6.4000788881e-05   2.6403459457e+02   9.2593617225e+03  0.0000000000e+00  -1.0464835370e+03   -5.4707284625e-05   5.3239891907e-01  4.6760108093e-01   1.9430743142e-01
68   4.2916751575e-05   2.6403459457e+02   9.2589643523e+03  0.0000000000e+00  -1.0462711994e+03   -5.5124350296e-05   5.3252719248e-01  4.6747280752e-01   1.8503257196e-01
69   2.2169202680e-05   2.6403459457e+02   9.2585889894e+03  0.0000000000e+00  -1.0460704479e+03   -5.5533692139e-05   5.3265458878e-01  4.6734541122e-01   1.7461135037e-01
70   2.2762416956e-06   2.6403459457e+02   9.2582357182e+03  0.0000000000e+00  -1.0458811749e+03   -5.5936685455e-05   5.3278152125e-01  4.6721847875e-01   1.6399826027e-01
71   1.6296125467e-05   2.6403459457e+02   9.2579033340e+03  0.0000000000e+00  -1.0457026603e+03   -5.6334425702e-05   5.3290815757e-01  4.6709184243e-01   1.5386962673e-01
72   3.3284158032e-05   2.6403459457e+02   9.2575899593e+03  0.0000000000e+00  -1.0455338784e+03   -5.6727680955e-05   5.3303441102e-01  4.6696558898e-01   1.4459278126e-01
73   4.8570589100e-05   2.6403459457e+02   9.2572935080e+03  0.0000000000e+00  -1.0453737245e+03   -5.7116879588e-05   5.3316003059e-01  4.6683996941e-01   1.3629738131e-01
74   6.2120078858e-05   2.6403459457e+02   9.2570119653e+03  0.0000000000e+00  -1.0452211441e+03   -5.7502140462e-05   5.3328471151e-01  4.6671528849e-01   1.2896227565e-01
75   7.3968860525e-05   2.6403459457e+02   9.2567435348e+03  0.0000000000e+00  -1.0450751979e+03   -5.7883326419e-05   5.3340815786e-01  4.6659184214e-01   1.2248432010e-01
