#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
69   3.6352535725e-05   5.3012714807e+01   5.5433395025e+02  0.0000000000e+00  -2.1852337780e+02   1.3106155600e-10   1.4741433540e+00  1.5258566460e+00   4.2151049064e-04
70   2.9080745125e-05   5.3012714807e+01   5.5433444271e+02  0.0000000000e+00  -2.1852427040e+02   1.4029828943e-10   1.4742195641e+00  1.5257804359e+00   4.0014774686e-04
71   2.3288208355e-05   5.3012714807e+01   5.5433469969e+02  0.0000000000e+00  -2.1852490724e+02   1.4979607598e-10   1.4742953008e+00  1.5257046992e+00   3.7985263970e-04
72   1.8602128048e-05   5.3012714807e+01   5.5433470199e+02  0.0000000000e+00  -2.1852527020e+02   1.5945441907e-10   1.4743706166e+00  1.5256293834e+00   3.6066701767e-04
73   1.4786359945e-05   5.3012714807e+01   5.5433449370e+02  0.0000000000e+00  -2.1852540450e+02   1.6923302355e-10   1.4744456062e+00  1.5255543938e+00   3.4258903213e-04
74   1.1677332235e-05   5.3012714807e+01   5.5433413443e+02  0.0000000000e+00  -2.1852537082e+02   1.7911785113e-10   1.4745203898e+00  1.5254796102e+00   3.2559165180e-04
75   9.1494121218e-06   5.3012714807e+01   5.5433367785e+02  0.0000000000e+00  -2.1852522388e+02   1.8910347123e-10   1.4745950994e+00  1.5254049006e+00   3.0963094719e-04
76   7.0991678643e-06   5.3012714807e+01   5.5433316509e+02  0.0000000000e+00  -2.1852500577e+02   1.9918442670e-10   1.4746698677e+00  1.5253301323e+00   2.9465149316e-04
77   5.4391345084e-06   5.3012714807e+01   5.5433262488e+02  0.0000000000e+00  -2.1852474615e+02   2.0935229175e-10   1.4747448197e+00  1.5252551803e+00   2.8059078244e-04
78   4.0954142147e-06   5.3012714807e+01   5.5433207610e+02  0.0000000000e+00  -2.1852446475e+02   2.1959597301e-10   1.4748200670e+00  1.5251799330e+00   2.6738297794e-04
79   3.0063801202e-06   5.3012714807e+01   5.5433153056e+02  0.0000000000e+00  -2.1852417417e+02   2.2990150358e-10   1.4748957038e+00  1.5251042962e+00   2.5496193859e-04
80   2.1214537832e-06   5.3012714807e+01   5.5433099532e+02  0.0000000000e+00  -2.1852388220e+02   2.4025282675e-10   1.4749718043e+00  1.5250281957e+00   2.4326353071e-04
81   1.3997272346e-06   5.3012714807e+01   5.5433047445e+02  0.0000000000e+00  -2.1852359355e+02   2.5063271782e-10   1.4750484222e+00  1.5249515778e+00   2.3222721580e-04
82   8.0849518338e-07   5.3012714807e+01   5.5432997010e+02  0.0000000000e+00  -2.1852331100e+02   2.6102287046e-10   1.4751255904e+00  1.5248744096e+00   2.2179704672e-04
83   3.2182147303e-07   5.3012714807e+01   5.5432948331e+02  0.0000000000e+00  -2.1852303613e+02   2.7140499553e-10   1.4752033216e+00  1.5247966784e+00   2.1192216411e-04
84   8.0764401786e-08   5.3012714807e+01   5.5432901445e+02  0.0000000000e+00  -2.1852276983e+02   2.8175980426e-10   1.4752816102e+00  1.5247183898e+00   2.0255691135e-04
85   5.3673653108e-07   5.3012714807e+01   5.5432857058e+02  0.0000000000e+00  -2.1852251974e+02   2.9200765712e-10   1.4753603986e+00  1.5246396014e+00   1.9378102911e-04
86   1.2289798057e-06   5.3012714807e+01   5.5432806907e+02  0.0000000000e+00  -2.1852220396e+02   3.0207998859e-10   1.4754396262e+00  1.5245603738e+00   1.8572945100e-04
87   2.0107992011e-06   5.3012714807e+01   5.5432757142e+02  0.0000000000e+00  -2.1852188459e+02   3.1203945459e-10   1.4755192400e+00  1.5244807600e+00   1.7827346528e-04
88   2.7327441189e-06   5.3012714807e+01   5.5432712431e+02  0.0000000000e+00  -2.1852160878e+02   3.2193920988e-10   1.4755991835e+00  1.5244008165e+00   1.7130552874e-04
89   3.3273565890e-06   5.3012714807e+01   5.5432673363e+02  0.0000000000e+00  -2.1852138285e+02   3.3179558519e-10   1.4756793944e+00  1.5243206056e+00   1.6475203512e-04
90   3.7873289742e-06   5.3012714807e+01   5.5432638435e+02  0.0000000000e+00  -2.1852119213e+02   3.4159977026e-10   1.4757598069e+00  1.5242401931e+00   1.5856164163e-04
91   4.1314513303e-06   5.3012714807e+01   5.5432605861e+02  0.0000000000e+00  -2.1852101909e+02   3.5133658169e-10   1.4758403557e+00  1.5241596443e+00   1.5269650595e-04
92   4.3838025947e-06   5.3012714807e+01   5.5432574360e+02  0.0000000000e+00  -2.1852085121e+02   3.6099271850e-10   1.4759209796e+00  1.5240790204e+00   1.4712731877e-04
93   4.5653018867e-06   5.3012714807e+01   5.5432543254e+02  0.0000000000e+00  -2.1852068197e+02   3.7056064064e-10   1.4760016241e+00  1.5239983759e+00   1.4183041213e-04
94   4.6919311203e-06   5.3012714807e+01   5.5432512315e+02  0.0000000000e+00  -2.1852050937e+02   3.8003765889e-10   1.4760822429e+00  1.5239177571e+00   1.3678597202e-04
95   4.7754783899e-06   5.3012714807e+01   5.5432481567e+02  0.0000000000e+00  -2.1852033387e+02   3.8942519829e-10   1.4761627991e+00  1.5238372009e+00   1.3197683222e-04
96   4.8247595361e-06   5.3012714807e+01   5.5432451138e+02  0.0000000000e+00  -2.1852015697e+02   3.9872722935e-10   1.4762432644e+00  1.5237567356e+00   1.2738765531e-04
97   4.8465998798e-06   5.3012714807e+01   5.5432421177e+02  0.0000000000e+00  -2.1851998036e+02   4.0794831115e-10   1.4763236193e+00  1.5236763807e+00   1.2300439977e-04
98   4.8464643829e-06   5.3012714807e+01   5.5432391811e+02  0.0000000000e+00  -2.1851980551e+02   4.1709344717e-10   1.4764038514e+00  1.5235961486e+00   1.1881397035e-04
99   4.8288229982e-06   5.3012714807e+01   5.5432363132e+02  0.0000000000e+00  -2.1851963353e+02   4.2616706920e-10   1.4764839552e+00  1.5235160448e+00   1.1480401679e-04
100   4.7973605256e-06   5.3012714807e+01   5.5432335202e+02  0.0000000000e+00  -2.1851946519e+02   4.3517315080e-10   1.4765639299e+00  1.5234360701e+00   1.1096284032e-04
