#omega  DOS(omega)
587.146   0.132484
587.156   0.130384
587.166   0.128342
587.176   0.126356
587.186   0.124425
587.196   0.122546
587.206   0.120718
587.216   0.118938
587.226   0.117206
587.236   0.11552
587.246   0.113877
587.256   0.112278
587.266   0.110719
587.276   0.109201
587.286   0.107721
587.296   0.106279
587.306   0.104873
587.316   0.103502
587.326   0.102165
587.336   0.100861
587.346   0.0995886
587.356   0.0983473
587.366   0.0971361
587.376   0.095954
587.386   0.0948001
587.396   0.0936736
587.406   0.0925736
587.416   0.0914995
587.426   0.0904505
587.436   0.0894258
587.446   0.0884247
587.456   0.0874466
587.466   0.0864908
587.476   0.0855568
587.486   0.0846438
587.496   0.0837514
587.506   0.0828789
587.516   0.0820258
587.526   0.0811916
587.536   0.0803758
587.546   0.0795779
587.556   0.0787974
587.566   0.0780338
587.576   0.0772868
587.586   0.0765559
587.596   0.0758407
587.606   0.0751407
587.616   0.0744557
587.626   0.0737851
587.636   0.0731287
587.646   0.0724861
587.656   0.071857
587.666   0.071241
587.676   0.0706378
587.686   0.0700472
587.696   0.0694687
587.706   0.0689021
587.716   0.0683472
587.726   0.0678036
587.736   0.0672712
587.746   0.0667495
587.756   0.0662385
587.766   0.0657377
587.776   0.0652471
587.786   0.0647664
587.796   0.0642953
587.806   0.0638337
587.816   0.0633813
587.826   0.0629379
587.836   0.0625033
587.846   0.0620774
587.856   0.06166
587.866   0.0612508
587.876   0.0608497
587.886   0.0604565
587.896   0.0600711
587.906   0.0596933
587.916   0.0593229
587.926   0.0589598
587.936   0.0586039
587.946   0.0582549
587.956   0.0579128
587.966   0.0575774
587.976   0.0572486
587.986   0.0569262
587.996   0.0566102
588.006   0.0563003
588.016   0.0559966
588.026   0.0556987
588.036   0.0554068
588.046   0.0551206
588.056   0.05484
588.066   0.0545649
588.076   0.0542953
588.086   0.0540309
588.096   0.0537719
588.106   0.0535179
588.116   0.0532689
588.126   0.053025
588.136   0.0527858
588.146   0.0525515
588.156   0.0523218
588.166   0.0520967
588.176   0.0518762
588.186   0.0516601
588.196   0.0514484
588.206   0.051241
588.216   0.0510378
588.226   0.0508387
588.236   0.0506438
588.246   0.0504528
588.256   0.0502659
588.266   0.0500828
588.276   0.0499035
588.286   0.049728
588.296   0.0495563
588.306   0.0493881
588.316   0.0492236
588.326   0.0490626
588.336   0.0489051
588.346   0.048751
588.356   0.0486003
588.366   0.0484529
588.376   0.0483088
588.386   0.0481679
588.396   0.0480302
588.406   0.0478957
588.416   0.0477642
588.426   0.0476358
588.436   0.0475104
588.446   0.0473879
588.456   0.0472684
588.466   0.0471518
588.476   0.047038
588.486   0.046927
588.496   0.0468188
588.506   0.0467133
588.516   0.0466106
588.526   0.0465104
588.536   0.0464129
588.546   0.046318
588.556   0.0462257
588.566   0.0461359
588.576   0.0460486
588.586   0.0459638
588.596   0.0458814
588.606   0.0458014
588.616   0.0457238
588.626   0.0456485
588.636   0.0455756
588.646   0.045505
588.656   0.0454366
588.666   0.0453705
588.676   0.0453066
588.686   0.045245
588.696   0.0451855
588.706   0.0451281
588.716   0.0450729
588.726   0.0450198
588.736   0.0449688
588.746   0.0449198
588.756   0.0448729
588.766   0.0448281
588.776   0.0447852
588.786   0.0447443
588.796   0.0447054
588.806   0.0446684
588.816   0.0446334
588.826   0.0446003
588.836   0.0445691
588.846   0.0445397
588.856   0.0445123
588.866   0.0444866
588.876   0.0444629
588.886   0.0444409
588.896   0.0444207
588.906   0.0444024
588.916   0.0443858
588.926   0.0443709
588.936   0.0443578
588.946   0.0443465
588.956   0.0443369
588.966   0.044329
588.976   0.0443228
588.986   0.0443182
588.996   0.0443154
589.006   0.0443142
589.016   0.0443147
589.026   0.0443168
589.036   0.0443206
589.046   0.0443259
589.056   0.0443329
589.066   0.0443415
589.076   0.0443517
589.086   0.0443635
589.096   0.0443769
589.106   0.0443918
589.116   0.0444083
589.126   0.0444263
589.136   0.0444459
589.146   0.0444671
589.156   0.0444898
589.166   0.044514
589.176   0.0445397
589.186   0.0445669
589.196   0.0445957
589.206   0.0446259
589.216   0.0446577
589.226   0.0446909
589.236   0.0447256
589.246   0.0447618
589.256   0.0447995
589.266   0.0448387
589.276   0.0448793
589.286   0.0449214
589.296   0.0449649
589.306   0.0450099
589.316   0.0450563
589.326   0.0451042
589.336   0.0451536
589.346   0.0452044
589.356   0.0452566
589.366   0.0453103
589.376   0.0453654
589.386   0.0454219
589.396   0.0454799
589.406   0.0455393
589.416   0.0456001
589.426   0.0456623
589.436   0.045726
589.446   0.0457911
589.456   0.0458576
589.466   0.0459256
589.476   0.045995
589.486   0.0460657
589.496   0.046138
589.506   0.0462116
589.516   0.0462866
589.526   0.0463631
589.536   0.046441
589.546   0.0465203
589.556   0.0466011
589.566   0.0466832
589.576   0.0467668
589.586   0.0468519
589.596   0.0469383
589.606   0.0470262
589.616   0.0471155
589.626   0.0472063
589.636   0.0472984
589.646   0.0473921
589.656   0.0474871
589.666   0.0475836
589.676   0.0476816
589.686   0.047781
589.696   0.0478819
589.706   0.0479842
589.716   0.0480879
589.726   0.0481932
589.736   0.0482999
589.746   0.048408
589.756   0.0485177
589.766   0.0486288
589.776   0.0487414
589.786   0.0488555
589.796   0.0489711
589.806   0.0490882
589.816   0.0492068
589.826   0.0493269
589.836   0.0494485
589.846   0.0495716
589.856   0.0496963
589.866   0.0498225
589.876   0.0499502
589.886   0.0500794
589.896   0.0502103
589.906   0.0503426
589.916   0.0504765
589.926   0.050612
589.936   0.0507491
589.946   0.0508878
589.956   0.051028
589.966   0.0511699
589.976   0.0513133
589.986   0.0514584
589.996   0.0516051
590.006   0.0517534
590.016   0.0519034
590.026   0.052055
590.036   0.0522083
590.046   0.0523632
590.056   0.0525198
590.066   0.0526781
590.076   0.0528381
590.086   0.0529998
590.096   0.0531632
590.106   0.0533283
590.116   0.0534952
590.126   0.0536638
590.136   0.0538341
590.146   0.0540063
590.156   0.0541802
590.166   0.0543559
590.176   0.0545334
590.186   0.0547127
590.196   0.0548938
590.206   0.0550768
590.216   0.0552616
590.226   0.0554483
590.236   0.0556368
590.246   0.0558273
590.256   0.0560196
590.266   0.0562138
590.276   0.05641
590.286   0.0566081
590.296   0.0568082
590.306   0.0570103
590.316   0.0572143
590.326   0.0574203
590.336   0.0576284
590.346   0.0578385
590.356   0.0580506
590.366   0.0582648
590.376   0.058481
590.386   0.0586994
590.396   0.0589198
590.406   0.0591424
590.416   0.0593672
590.426   0.0595941
590.436   0.0598231
590.446   0.0600544
590.456   0.0602879
590.466   0.0605236
590.476   0.0607616
590.486   0.0610018
590.496   0.0612444
590.506   0.0614892
590.516   0.0617364
590.526   0.061986
590.536   0.0622379
590.546   0.0624922
590.556   0.0627489
590.566   0.063008
590.576   0.0632696
590.586   0.0635337
590.596   0.0638003
590.606   0.0640694
590.616   0.0643411
590.626   0.0646153
590.636   0.0648921
590.646   0.0651716
590.656   0.0654537
590.666   0.0657384
590.676   0.0660259
590.686   0.0663161
590.696   0.066609
590.706   0.0669047
590.716   0.0672032
590.726   0.0675045
590.736   0.0678087
590.746   0.0681158
590.756   0.0684258
590.766   0.0687387
590.776   0.0690546
590.786   0.0693735
590.796   0.0696954
590.806   0.0700204
590.816   0.0703485
590.826   0.0706798
590.836   0.0710141
590.846   0.0713517
590.856   0.0716925
590.866   0.0720365
590.876   0.0723839
590.886   0.0727346
590.896   0.0730886
590.906   0.073446
590.916   0.0738069
590.926   0.0741713
590.936   0.0745391
590.946   0.0749105
590.956   0.0752855
590.966   0.0756641
590.976   0.0760464
590.986   0.0764324
590.996   0.0768222
591.006   0.0772157
591.016   0.0776131
591.026   0.0780143
591.036   0.0784195
591.046   0.0788286
591.056   0.0792418
591.066   0.079659
591.076   0.0800803
591.086   0.0805057
591.096   0.0809354
591.106   0.0813693
591.116   0.0818075
591.126   0.08225
591.136   0.082697
591.146   0.0831484
591.156   0.0836043
591.166   0.0840648
591.176   0.0845298
591.186   0.0849996
591.196   0.0854741
591.206   0.0859533
591.216   0.0864375
591.226   0.0869265
591.236   0.0874204
591.246   0.0879194
591.256   0.0884235
591.266   0.0889327
591.276   0.0894472
591.286   0.0899669
591.296   0.090492
591.306   0.0910225
591.316   0.0915584
591.326   0.0921
591.336   0.0926471
591.346   0.0931999
591.356   0.0937586
591.366   0.094323
591.376   0.0948934
591.386   0.0954698
591.396   0.0960522
591.406   0.0966408
591.416   0.0972357
591.426   0.0978368
591.436   0.0984444
591.446   0.0990585
591.456   0.0996791
591.466   0.100306
591.476   0.100941
591.486   0.101581
591.496   0.102229
591.506   0.102884
591.516   0.103546
591.526   0.104216
591.536   0.104892
591.546   0.105576
591.556   0.106268
591.566   0.106967
591.576   0.107674
591.586   0.108389
591.596   0.109112
591.606   0.109843
591.616   0.110582
591.626   0.111329
591.636   0.112085
591.646   0.11285
591.656   0.113623
591.666   0.114405
591.676   0.115196
591.686   0.115996
591.696   0.116805
591.706   0.117624
